time,joint1,joint2,joint3,joint4,joint5,joint6
1749190086.6550548,-0.6991117596626282,-0.031254857778549194,-0.03269296512007713,0.057452376931905746,0.004601942375302315,0.012895026244223118
1749190087.1253655,-0.1320565789937973,-0.005905826110392809,-0.004625910893082619,0.004554005805402994,0.003954794257879257,0.008029431104660034
1749190087.604738,-0.00028762139845639467,-0.00026844663079828024,-0.0001917476038215682,0.00045540055725723505,0.00016777915880084038,0.00043143212678842247
1749190088.1506157,-0.03606772422790527,-0.2988770008087158,-0.10675548017024994,0.40470728278160095,0.030895333737134933,-0.08796421438455582
1749190088.6215672,9.58738019107841e-05,0.00023009712458588183,-0.0012223910307511687,-0.0006711166352033615,-0.00014381069922819734,0.00016777915880084038
1749190089.095955,0.0645422413945198,0.36612287163734436,0.45218878984451294,-0.817923367023468,-0.0511486753821373,0.1552915871143341
1749190089.5720162,-5.752428114647046e-05,-0.00036432043998502195,-0.00023968450841493905,0.00033555831760168076,-4.793690095539205e-05,-0.0002636529679875821
1749190090.119526,0.37707164883613586,0.17671458423137665,0.3147297203540802,-0.0788082629442215,-0.412281334400177,-0.048703890293836594
1749190090.591036,0.9027285575866699,0.4206942319869995,0.7410086393356323,-0.1890152096748352,-0.9814841151237488,-0.11483284831047058
1749190091.0690067,0.9648739099502563,0.4532146453857422,0.7897365093231201,-0.20864535868167877,-1.0509446859359741,-0.13022059202194214
1749190091.6160517,0.5833537578582764,0.27694106101989746,0.48286840319633484,-0.12449213117361069,-0.6384716033935547,-0.07720237970352173
1749190092.0947936,0.05420704558491707,0.02322063408792019,0.03707919269800186,-0.011984225362539291,-0.05464806780219078,-0.004458131734281778
1749190092.5712683,7.669904152862728e-05,-7.669904152862728e-05,0.0005752427969127893,-0.00011984225420746952,-7.190534961409867e-05,-0.0010306433541700244
1749190093.205901,1.917476038215682e-05,0.0,0.0001917476038215682,0.0,-7.190534961409867e-05,-0.00011984225420746952
1749190093.6730778,1.917476038215682e-05,0.0,7.190534961409867e-05,0.0,-4.793690095539205e-05,-4.793690095539205e-05
1749190094.1804883,0.0,0.0,4.793690095539205e-05,0.0,-2.3968450477696024e-05,-2.3968450477696024e-05
